	Package	Version	Source
spatstat.geom	spatstat.geom	3.2-4	CRAN (R 4.2.2)
spatstat.random	spatstat.random	3.1-5	CRAN (R 4.2.2)
spatstat.sparse	spatstat.sparse	3.0-2	CRAN (R 4.2.2)
spatstat.utils	spatstat.utils	3.0-3	CRAN (R 4.2.2)
splines	splines	4.2.2	local
StanHeaders	StanHeaders	2.26.27	CRAN (R 4.2.2)
statmod	statmod	1.5.0	CRAN (R 4.2.2)
stats	stats	4.2.2	local
stats4	stats4	4.2.2	local
streamR	streamR	0.4.5	CRAN (R 4.2.2)
stringi	stringi	1.7.12	CRAN (R 4.2.2)
stringr	stringr	1.5.0	CRAN (R 4.2.2)
striprtf	striprtf	0.6.0	CRAN (R 4.2.2)
SummarizedExperiment	SummarizedExperiment	1.28.0	Bioconductor
survival	survival	3.5-7	CRAN (R 4.2.2)
survival	survival	3.5-7	CRAN (R 4.2.2)
survivalROC	survivalROC	1.0.3.1	CRAN (R 4.2.2)
survminer	survminer	0.4.9	CRAN (R 4.2.2)
survMisc	survMisc	0.5.6	CRAN (R 4.2.2)
sys	sys	3.4.2	CRAN (R 4.2.2)
systemfonts	systemfonts	1.0.4	CRAN (R 4.2.2)
tcltk	tcltk	4.2.2	local
TDA	TDA	1.9	CRAN (R 4.2.2)
TDAmapper	TDAmapper	1	Github (paultpearson/TDAmapper@658de357b4b3a57f93c1de5f0d98ea0cae9a86a0)
TDApplied	TDApplied	2.0.4	CRAN (R 4.2.2)
TDAstats	TDAstats	0.4.1	CRAN (R 4.2.2)
tensor	tensor	1.5	CRAN (R 4.2.2)
testthat	testthat	3.1.10	CRAN (R 4.2.2)
textshaping	textshaping	0.3.6	CRAN (R 4.2.2)
TFisher	TFisher	0.2.0	CRAN (R 4.2.2)
TH.data	TH.data	1.1-2	CRAN (R 4.2.2)
tibble	tibble	3.2.1	CRAN (R 4.2.2)
tidygraph	tidygraph	1.2.3	CRAN (R 4.2.2)
tidyr	tidyr	1.3.0	CRAN (R 4.2.2)
tidyselect	tidyselect	1.2.0	CRAN (R 4.2.2)
tidytree	tidytree	0.4.5	CRAN (R 4.2.2)
tidyverse	tidyverse	2.0.0	CRAN (R 4.2.2)
tiff	tiff	0.1-11	CRAN (R 4.2.2)
timechange	timechange	0.2.0	CRAN (R 4.2.2)
timeDate	timeDate	4022.108	CRAN (R 4.2.2)
tinytex	tinytex	0.46	CRAN (R 4.2.2)
tools	tools	4.2.2	local
topconfects	topconfects	1.14.0	Bioconductor
treeio	treeio	1.22.0	Bioconductor
tseries	tseries	0.10-54	CRAN (R 4.2.2)
tsne	tsne	0.1-3.1	CRAN (R 4.2.2)
TTR	TTR	0.24.3	CRAN (R 4.2.2)
tweenr	tweenr	2.0.2	CRAN (R 4.2.2)
tzdb	tzdb	0.4.0	CRAN (R 4.2.2)
umap	umap	0.2.10.0	CRAN (R 4.2.2)
urca	urca	1.3-3	CRAN (R 4.2.2)
urlchecker	urlchecker	1.0.1	CRAN (R 4.2.2)
usethis	usethis	2.2.2	CRAN (R 4.2.2)
utf8	utf8	1.2.3	CRAN (R 4.2.2)
utils	utils	4.2.2	local
uuid	uuid	1.1-1	CRAN (R 4.2.2)
uwot	uwot	0.1.16	CRAN (R 4.2.2)
vctrs	vctrs	0.6.3	CRAN (R 4.2.2)
verification	verification	1.42	CRAN (R 4.2.2)
VGAM	VGAM	1.1-8	CRAN (R 4.2.2)
vioplot	vioplot	0.4.0	CRAN (R 4.2.2)
vipor	vipor	0.4.5	CRAN (R 4.2.2)
viridis	viridis	0.6.4	CRAN (R 4.2.2)
viridisLite	viridisLite	0.4.2	CRAN (R 4.2.2)
vroom	vroom	1.6.3	CRAN (R 4.2.2)
waldo	waldo	0.5.1	CRAN (R 4.2.2)
waterfall	waterfall	1.0.2	CRAN (R 4.2.2)
whisker	whisker	0.4.1	CRAN (R 4.2.2)
withr	withr	2.5.0	CRAN (R 4.2.2)
writexl	writexl	1.4.2	CRAN (R 4.2.2)
xCell	xCell	1.1.0	Github (dviraran/xCell@7339410585bcccb2c2ceec2af47c8bcb646b42b2)
xfun	xfun	0.4	CRAN (R 4.2.2)
xlsx	xlsx	0.6.5	CRAN (R 4.2.2)
xlsxjars	xlsxjars	0.6.1	CRAN (R 4.2.2)
XML	XML	3.99-0.14	CRAN (R 4.2.2)
xml2	xml2	1.3.5	CRAN (R 4.2.2)
xopen	xopen	1.0.0	CRAN (R 4.2.2)
xtable	xtable	1.8-4	CRAN (R 4.2.2)
xts	xts	0.13.1	CRAN (R 4.2.2)
XVector	XVector	0.38.0	Bioconductor
yaml	yaml	2.3.7	CRAN (R 4.2.2)
yulab.utils	yulab.utils	0.0.8	CRAN (R 4.2.2)
zip	zip	2.3.0	CRAN (R 4.2.2)
zlibbioc	zlibbioc	1.44.0	Bioconductor
zoo	zoo	1.8-12	CRAN (R 4.2.2)
	Package	Version	Source
